,area_type,availability,size,total_sqft,bath,balcony,price,Electronic City,Hebbal,Kanakpura Road,Marathahalli,Raja Rajeshwari Nagar,Sarjapur  Road,Thanisandra,Uttarahalli,Whitefield,Yelahanka
0,1,0,2,1056.0,2.0,1.0,39.07,0,0,0,0,0,0,0,0,0,0
1,3,1,4,2600.0,5.0,3.0,120.0,0,0,0,0,0,0,0,0,0,0
2,2,1,3,1440.0,2.0,3.0,62.0,0,0,0,0,0,0,0,1,0,0
3,1,1,3,1521.0,3.0,1.0,95.0,0,0,0,0,0,0,0,0,0,0
4,1,1,2,1200.0,2.0,1.0,51.0,0,0,0,0,0,0,0,0,0,0
5,1,1,2,1170.0,2.0,1.0,38.0,0,0,0,0,0,0,0,0,1,0
6,1,0,4,2732.0,4.0,2.0,204.0,0,0,0,0,0,0,0,0,0,0
7,1,1,4,3300.0,4.0,2.0,600.0,0,0,0,0,0,0,0,0,0,0
8,1,1,3,1310.0,3.0,1.0,63.25,0,0,0,1,0,0,0,0,0,0
9,3,1,6,1020.0,6.0,2.0,370.0,0,0,0,0,0,0,0,0,0,0
10,1,0,3,1800.0,2.0,2.0,70.0,0,0,0,0,0,0,0,0,1,0
11,3,1,4,2785.0,5.0,3.0,295.0,0,0,0,0,0,0,0,0,1,0
12,1,1,2,1000.0,2.0,1.0,38.0,0,0,0,0,0,0,0,0,0,0
13,2,1,2,1100.0,2.0,2.0,40.0,0,0,0,0,0,0,0,0,0,0
14,3,1,3,2250.0,3.0,2.0,148.0,0,0,0,0,0,0,0,0,0,0
15,1,1,2,1175.0,2.0,2.0,73.5,0,0,0,0,0,0,0,0,0,0
16,1,1,3,1180.0,3.0,2.0,48.0,0,0,0,0,0,0,0,0,0,0
17,1,1,3,1540.0,3.0,3.0,60.0,0,0,0,0,1,0,0,0,0,0
18,1,1,3,2770.0,4.0,2.0,290.0,0,0,0,0,0,0,0,0,0,0
19,1,1,2,1100.0,2.0,2.0,48.0,0,0,0,0,0,0,0,0,0,0
20,2,1,1,600.0,1.0,1.0,15.0,0,0,0,0,0,0,0,0,0,0
21,1,0,3,1755.0,3.0,1.0,122.0,0,0,0,0,0,0,0,0,0,0
22,3,1,4,2800.0,5.0,2.0,380.0,0,0,0,0,0,0,1,0,0,0
23,1,1,3,1767.0,3.0,1.0,103.0,0,0,0,0,0,0,0,0,0,0
24,1,0,1,510.0,1.0,0.0,25.25,0,0,0,0,0,0,1,0,0,0
